"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Agrecoastur","Mermelada Extra de Kiwi -Agrecoastur- 260gr","1,00","2,36","2,36","3,60","3,60",
"Agrecoastur","Mermelada Extra de Kiwi con Limon y Canela -Agrecoastur- 260gr","6,00","2,45","14,70","3,75","21,49",
"Agrecoastur","Mermelada Extra de Kiwi con Nueces -Agrecoastur- 260gr","7,00","2,45","17,15","3,75","23,97",
"Agrecoastur","Mermelada Extra de Manzana -Agrecoastur- 260gr","4,00","2,38","9,52","3,65","14,16",
"Agrecoastur","Zumo de Arandano -Agrecoastur- 500ml","6,00","5,17","31,02","7,70","39,66",
"Agrecoastur","Zumo de Manzana de Sidra- Agrecoastur - 1L","2,00","1,96","3,92","3,10","6,20",
"Agrecoastur","Zumo de Manzana y Arandano - Agrecoastur- 750ml","1,00","3,39","3,39","5,15","5,15",
"Agrecoastur","Zumo de Manzana y Kiwi - Agrecoastur - 750ml","1,00","1,97","1,97","3,10","3,10",
,,,,"Total:84,03",,"Total:117,33",
"Algamar","Alga agar-agar en copos -Algamar- 50 gr","1,00","3,13","3,13","5,55","5,55",
"Algamar","Alga Dulse - Algamar - 100gr","1,00","5,92","5,92","8,90","8,90",
"Algamar","Alga espagueti de mar - Algamar- 100gr","1,00","3,57","3,57","5,40","5,40",
"Algamar","Alga instant (Alga espagueti de mar en polvo) - Algamar- 75 gr","3,00","3,59","10,77","5,72","15,44",
"Algamar","Alga kombu molida -Algamar- 70 gr","1,00","2,90","2,90","4,65","3,72",
"Algamar","Alga kombu-Algamar- 100 gr","1,00","3,57","3,57","5,40","5,40",
"Algamar","Alga nori copos - Algamar-  100 gr","3,00","7,08","21,24","10,50","31,50",
"Algamar","Alga Nori para Sushi - Algamar - 10 hojas de 30 gramos","1,00","4,03","4,03","6,00","6,00",
"Algamar","Alga wakame - Algamar- 100 gr","2,00","5,26","10,52","7,95","15,90",
"Algamar","Algas para ensalada- Algamar- 100 gr","3,00","5,75","17,25","9,75","29,25",
"Algamar","Algas y setas - Algamar- 100 gr","2,00","5,26","10,52","8,40","16,80",
"Algamar","Arroz- lentejas pardinas y algas - Algamar- 500 gr","2,00","3,18","6,36","4,35","7,83",
"Algamar","Crema de almendra cruda y algas- Algamar-180gr.","1,00","6,23","6,23","9,95","9,95",
"Algamar","Crema de sesamo blanco (tahina) con algas - Algamar-  320g","3,00","5,44","16,32","7,72","23,16",
"Algamar","Crema de sesamo tostado (tahina) y algas - Algamar- 320 gr","3,00","4,16","12,48","6,65","19,95",
"Algamar","Espagueti tierra y mar (pasta con algas) - Algamar - 250 gr","5,00","1,89","9,45","2,53","12,29",
"Algamar","Flores de Mar (pasta integral con algas)- Algamar - 250 gr","6,00","1,89","11,34","2,70","16,01",
"Algamar","Pate de algas - Algamar- 200 gr","10,00","2,79","27,90","4,42","44,20",
