"Products list"
"ref","description","Base imp.","IVA","Total",
"22222222222","Naturgreen avena calcium 1L","2.18","10.00","2.40",
"ACCBROT0001","Kit de Germinacion en casa - Lilliput","12.60","21.00","15.25",
"ACCBROT0002","Bolsa de Germinacion - Lilliput","9.28","4.00","9.65",
"ACCBROT0003","Extractor Manual de Zumo - Lilliput","58.85","4.00","61.20",
"ACCBROT0004","Sustrato Ecologico-Lilliput- 10 litros","2.93","21.00","3.55",
"ACCBROT0005","Kit de Brotes Verdes -Lilliput (bandeja+semillas+sustrato)","14.38","21.00","17.40",
"ACCBROT0008","Bolsa de Germinacion Canamo-Lilliput","9.26","21.00","11.20",
"ACCBROT0009","Jabon Natural Hierba de trigo-Lilliput- 130 gr","5.74","21.00","6.95",
"ACEBIOG0001","Aceite de lino - El Granero - 500ml","8.91","10.00","9.80",
"ACEMARI0001","Aceite Oliva Virgen Extra ""Cooperativa de Marinaleda"" 2l","16.24","21.00","19.65",
"ACEMARI0002","Aceite Oliva Virgen Extra ""Cooperativa de Marinaleda"" 5l","43.45","10.00","47.80",
"ACEMARI0003","Aceite Oliva Virgen Extra ""Cooperativa de Marinaleda"" 5l","39.50","21.00","47.80",
"ACOPAM0001","Aceite de Onagra - 300 perlas - Pamies Vitae","15.29","21.00","18.50",
"AEAGARB0001","Excursion a la Autogestion -Desayuno","2.11","0.00","2.11",
"AEAGARB0002","Visita a La Garbancita con Desayuno","6.00","0.00","6.00",
"AEAGARB0004","Talleres Alimentacion saludable en escuelas","120.00","0.00","120.00",
"AEAGARB0005","Visita La Garbancita _Desayuno","2.64","0.00","2.64",
"AEAGARB0006","Visita La Garbancita _Taller de los sentidos y actividad","3.69","0.00","3.69",
"AEAGARB0010","Visita a La Garbancita_Taller y desayuno","1.05","0.00","1.05",
"AEAGARB0011","Visita a La Garbancita_Taller y desayuno (2)","3.16","0.00","3.16",
"AEAGARB0012","Taller-Curso Garbancita","1.05","0.00","1.05",
"AEAGARB0013","Taller Educacion Alimentaria, Taller de los Sentidos, Desayuno y Charla Debate","94.94","0.00","94.94",
"AGABIOG0001","Sirope de Agave 700g - El Granero -","6.91","10.00","7.60",
"AGEMUJ0001","Agenda  de las mujeres 2015","10.33","21.00","12.50",
"AGEMUJ0002","Agenda Mujeres 2018","11.57","21.00","14.00",
"AGMRINC001","Agua de mar- Rincon del Segura- Botella de 1,5 Litros","2.73","10.00","3.00",
"AGMRINC002","Agua de mar- Rincon del Segura- Garrafa de 5 Litros","9.85","10.00","10.84",
"AGUPIDE0001","Agua Mineral Alcalinizada - Monchique - 1,5L","1.36","10.00","1.50",
"AGUPIDE0002","Agua Mineral Alcalinizada - Monchique - 0,5L","0.82","10.00","0.90",
"AGUPIDE0003","Agua Mineral Alcalinizada - Monchique - 5L","4.27","10.00","4.70",
"AJOQUER0002","Ajo Negro DESTRIO Quero Tango","2.88","4.00","3.00",
"AJOQUERO0001","Ajo Negro - QueroTango -Bolsita con 2 cabezas","10.14","10.00","11.15",
"AJOQUERO003","Ajo Negro suelto- Quero Tango- 1 cabeza","4.32","10.00","4.75",
"ALGALG0025","Sopa de Arroz, Verduras y Algas- 250 gr- Algamar","3.55","10.00","3.90",
"ALGALGA0001","Alga kombu-Algamar- 100 gr","5.19","4.00","5.40",
"ALGALGA0002","Alga espagueti de mar - Algamar- 100gr","5.19","4.00","5.40",
"ALGALGA0003","Alga wakame - Algamar- 100 gr","7.64","4.00","7.95",
"ALGALGA0004","Alga nori copos - Algamar-  100 gr","10.10","4.00","10.50",
"ALGALGA0005","Algas para ensalada- Algamar- 100 gr","9.38","4.00","9.75",
"ALGALGA0006","Alga musgo- Algamar- 100gr","5.19","4.00","5.40",
"ALGALGA0007","Alga agar-agar en copos -Algamar- 50 gr","5.05","10.00","5.55",
"ALGALGA0008","Algas y setas - Algamar- 100 gr","7.64","10.00","8.40",
"ALGALGA0009","Sopa juliana con algas - Algamar- 150 gr","4.64","10.00","5.10",
"ALGALGA0010","Sopa de arroz- verduras y algas - Algamar-  500 gr","4.82","10.00","5.30",
"ALGALGA0011","Arroz- lentejas pardinas y algas - Algamar- 500 gr","3.95","10.00","4.35",
"ALGALGA0012","Crema de sesamo (tahina) y algas - Algamar- 320 gr","6.05","10.00","6.65",
"ALGALGA0013","Crema de sesamo blanco (tahina) con algas - Algamar-  320g","7.02","10.00","7.72",
"ALGALGA0014","Pate de algas - Algamar- 200 gr","4.02","10.00","4.42",
"ALGALGA0015","Alga instant (Alga espagueti de mar en polvo) - Algamar- 75 gr","5.20","10.00","5.72",
"ALGALGA0016","Pisto con algas - Algamar- 420 gr","5.05","10.00","5.55",
"ALGALGA0017","Crema de almendra cruda y algas- Algamar-320 gr.","11.14","10.00","12.25",
"ALGALGA0018","Crema de almendra tostada y algas - Algamar- 320 gr","12.77","10.00","14.05",
"ALGALGA0019","Gomasio con alga Nori - Algamar- 130 gr","3.73","10.00","4.10",
"ALGALGA0020","Arcialga (Arcilla verde+ Alga Kombu) - Algamar- 500gr","7.41","10.00","8.15",
"ALGALGA0022","Alga Dulse - Algamar - 100gr","9.33","4.00","9.70",
"ALGALGA0023","Alga Nori para Sushi - Algamar - 10 hojas de 30 gramos","5.77","4.00","6.00",
"ALGALGA0024","Quinoa con Algas - Algamar - 500g","8.36","10.00","9.20",
"ALGALGA0025","Capsulas Kombu - Algamar - 60 unidades 6+1","10.36","10.00","11.40",
"ALGALGA0026","Capsulas espirulina - Algamar - 60 unidades","10.36","10.00","11.40",
"ALGALGA0027","Alga kombu molida 70 gr","5.18","10.00","5.70",
"ALGALGA0028","Alga WAKAME molida 70 gr","6.82","10.00","7.50",
"ALGARGA0023","Espirulina Polvo ECO - ALGAMAR-500 gr","25.20","10.00","27.72",
"ALGARGA0024","Pisto con algas- 320 gr- Algamar","4.14","10.00","4.55",
"Almacenamiento","Almacenamiento Merca","8.00","21.00","9.68",
"ANESPA0020","Anacardo natural 85 gr -Espanica-","3.55","10.00","3.90",
"ARTBOL0001","Carterita monedero - Artesania Boliviana","2.27","10.00","2.50",
"ARTBOL0002","Tarjetero - Artesania Bolivia","2.73","10.00","3.00",
"ARTBOL0003","Estuche alargado 1 cremallera - Artesania Bolivia","3.18","10.00","3.50",
"ARTBOL0004","Estuche 3 cremalleras - Artesania Bolivia","5.91","10.00","6.50",
"ARTBOL0005","Bolsito colgante - Artesania Bolivia","3.64","10.00","4.00",
"ARTBOL0006","Estuche 2 cremalleras - Artesania Bolivia","4.55","10.00","5.00",
"ARTBOL0007","Bolsa compra convertible Art. Bolivia","5.00","10.00","5.50",
"ARTBOL0008","bolsa de aseo -Art Bolivia","4.55","10.00","5.00",
"ARTBOL0009","tarjeta postal -Art. Bolivia","2.27","10.00","2.50",
"Asentador","Asentador Merca","1.00","0.00","1.00",
"AsentadorFrio","Asentador Frio Lorenzo","10.00","21.00","12.10",
"AVESANC0001","Pollo limpio -Sanchonar-  Precio kg","9.93","10.00","10.92",
"AVESANC0002","Pollo troceado -Sanchonar-Precio kg","11.45","10.00","12.60",
"AVESANC0003","Medio pollo- Sanchonar- Precio kg","10.22","10.00","11.24",
"AVESANC0004","Trasero de pollo-Sanchonar- precio kg","11.59","10.00","12.75",
"AVESANC0005","Trasero sin espinazo-Sanchonar- precio kg","13.76","10.00","15.14",
"AVESANC0006","Trasero deshuesado-Sanchonar- precio kg","18.26","10.00","20.09",
"AVESANC0007","Pechuga entera sin piel-Sanchonar- precio 500 g","11.23","10.00","12.35",
"AVESANC0008","Pechuga fileteada-Sanchonar- precio 500 g","12.09","10.00","13.30",
"AVESANC0009","Alitas de pollo-Sanchonar- precio 500 g","4.55","10.00","5.00",
"AVESANC0010","Molleja de pollo- Sanchonar- precio 500 g","4.73","10.00","5.20",
"AVESANC0011","Higaditos de pollo-Sanchonar- precio 500 g","4.73","10.00","5.20",
"AVESANC0012","Carcasas de pollo-Sanchonar- precio kg","4.35","10.00","4.78",
"AVESANC0013","Gallina entera-Sanchonar- precio kg","7.61","10.00","8.37",
"AVESANC0014","Media gallina-Sanchonar- precio kg","7.91","10.00","8.70",
"AVESANC0015","Preparado para caldo de gallina-Sanchonar- precio kg","7.91","10.00","8.70",
"AVESANC0016","Trasero de pollo asado tradicional-Sanchonar- bolsa aprox 500 gr, precio kg","13.52","10.00","14.87",
"AVESANC0017","Alas de pollo asadas tradicional- Sanchonar- bolsa 400 gr","10.79","10.00","11.87",
"AVESANC0018","Trasero de pollo asado en su jugo-Sanchonar- bolsa aprox 800 gr, precio kg","13.43","10.00","14.77",
"AVESANC0019","Alas de pollo asadas en su jugo- Sanchonar- Bolsa 600 gr, precio del kilo","26.37","10.00","29.01",
"AVESANC0020","Caldo de gallina y pollo al natural-Sanchonar- bote 500 cc","2.91","10.00","3.20",
"AVESANC0021","Albondigas de pollo artesanas en salsa-Sanchonar- Bote de cristal 250 gr","6.04","10.00","6.65",
"AVESANC0022","Pate de higado de pollo-Sanchonar - tarro 50 gr","2.41","10.00","2.65",
"AVESANC0023","Mollejas de pollo asadas en su jugo-Sanchonar- bolsa 200 gr","2.97","10.00","3.27",
"AVESANC0024","Cebolla caramelizada- Sanchonar- tarro 50 gr","2.41","10.00","2.65",
"AVESANC0025","Escabeche de gallina-Sanchonar- tarro 450 gr","10.45","10.00","11.50",
"AVESANC0026","Media gallina guisada en pepitoria-Sanchonar- tarro 850 gr","10.45","10.00","11.50",
"AVESANC0027","Carne de Pollo Picada - Sanchonar - Precio 500 g","10.14","10.00","11.15",
"AVESANC0028","Jamoncitos de Pollo- Sanchonar -3 muslos envasados al vacio -precio 500 g","6.91","10.00","7.60",
"AVESANC0029","Pularda Limpia - Sanchonar - Precio Kg","11.09","10.00","12.20",
"AVESANC0030","Capon -Sanchonar-Precio kilo","12.82","10.00","14.10",
"AVESANC0031","Salchichas de pollo-7 unid-250g-Sanchonar-precio paq","5.95","10.00","6.55",
"AVESANC0032","Hamburguesas de pollo-2 unid de 250g-Sanchonar-precio paq","5.95","10.00","6.55",
"AVESANC0033","Salchicha cocida TIPO FRANKFURT-Sanchonar- Paquete 225 gr","5.95","10.00","6.55",
"AVESANC0034","Jamon Cocido de Pollo -Sanchonar-precio 500 gr","12.68","10.00","13.95",
"AVESANC0035","Contramuslo Braseado-Sanchonar-precio 200 gr","4.91","10.00","5.40",
"AVESANC0036","Salchichas de pollo Frankfurt 3 unidades-170g-Sanchonar-precio paquete","4.27","10.00","4.70",
"AYVBIOR0001","Aceite de Oliva Virgen Extra - Mas de Catxol - Garrafa 5 litros","40.45","10.00","44.50",
"AYVBIOR0002","Aceite de Oliva Virgen Extra - Mas de Catxol - garrafa 2 litros","16.64","10.00","18.30",
"AYVBIOR0003","Aceite de oliva botella cristal oscura - Mas de Catxol- botella 1 litro","8.73","10.00","9.60",
"AYVCACH0001","Aceite Girasol - Cachopo- 2 litros","6.55","10.00","7.20",
"AYVCACH0002","Aceite de girasol - Cachopo - 5 litros","15.73","10.00","17.30",
"AYVCOAT0001","Aceite oliva garrafa plastico - Coato - 5Litros","34.00","10.00","37.40",
"AYVCOAT0002","Aceite de oliva lata - Coato - 3 Litros","22.41","10.00","24.65",
"AYVCUCA0001","Vinagre de sidra- Yuca's - 50 cl","2.64","10.00","2.90",
"AYVCUCA0002","Vinagre de vino- Yuca's- 50cl DESCATALOGADO","2.16","10.00","2.37",
"AYVCUCA0003","Vinagre balsamico- Yuca's - 50 cl.","3.55","10.00","3.90",
"AYVCUCA0004","Vinagre balsamico yuca- 250 ml","2.15","10.00","2.36",
"AYVESPA0001","Aceite NO ECOLOGICO Huertoliva-Espanica","23.64","10.00","26.00",
"AYVGUAD0001","Aceite de Oliva Virgen Extra - El Guadalhorce Ecologico - 5 litros (Pet)","38.09","10.00","41.90",
"AYVGUAD0002","Aceite de Oliva Virgen Extra - El Guadalhorce Ecologico - 3 litros (lata)","25.59","10.00","28.15",
