"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Algamar","Alga agar-agar en copos -Algamar- 50 gr","1,00","3,13","3,13","5,55","5,55",
"Algamar","Alga espagueti de mar - Algamar- 100gr","1,00","3,57","3,57","5,40","4,05",
"Algamar","Alga kombu-Algamar- 100 gr","5,00","3,57","17,85","5,40","27,00",
"Algamar","Alga Nori para Sushi - Algamar - 10 hojas de 30 gramos","1,00","4,03","4,03","6,00","6,00",
"Algamar","Alga wakame - Algamar- 100 gr","2,00","5,26","10,52","7,95","15,90",
"Algamar","Algas para ensalada- Algamar- 100 gr","2,00","5,75","11,50","9,75","19,50",
"Algamar","Algas y setas - Algamar- 100 gr","1,00","5,26","5,26","8,40","8,40",
"Algamar","Arroz- lentejas pardinas y algas - Algamar- 500 gr","1,00","3,18","3,18","4,35","4,35",
"Algamar","Crema de almendra cruda y algas- Algamar-180gr.","1,00","6,23","6,23","12,25","12,25",
"Algamar","Crema de sesamo (tahina) y algas - Algamar- 320 gr","2,00","4,16","8,32","6,65","13,30",
"Algamar","Espagueti tierra y mar (pasta con algas) - Algamar - 250 gr","2,00","1,89","3,78","2,53","5,06",
"Algamar","Flores de Mar (pasta integral con algas)- Algamar - 250 gr","4,00","1,89","7,56","2,70","10,80",
"Algamar","Gomasio con alga Nori - Algamar- 130 gr","2,00","2,56","5,12","4,10","8,20",
"Algamar","Palitos integrales de sesamo y algas-Algamar- 150 gr","10,00","2,69","26,90","3,97","39,70",
"Algamar","Pate de algas - Algamar- 200 gr","1,00","2,79","2,79","4,42","4,42",
"Algamar","Quinoa con Algas - Algamar - 500g","1,00","4,87","4,87","9,20","9,20",
"Algamar","Sopa de arroz- verduras y algas - Algamar-  500 gr","3,00","4,03","12,09","5,30","15,90",
"Algamar","Sopa juliana con algas - Algamar- 150 gr","4,00","3,05","12,20","5,10","20,40",
"Algamar","Tortitas 5 cereales con algas - Algamar - 140gr","4,00","1,74","6,96","2,30","9,20",
"Algamar","Tortitas de arroz y algas- Algamar- 140 gr.","2,00","1,74","3,48","2,30","4,60",
"Algamar","Tortitas Espelta y Algas - Algamar - 140gr","1,00","3,13","3,13","2,30","2,30",
,,,,"Total:162,47",,"Total:246,08",
"Alta Diet (Biobel)","Abrillantador vajillas - Biobel - 500ml","3,00","2,40","7,20","4,20","12,60",
"Alta Diet (Biobel)","Blanqueador- Biobel- 1 kg","2,00","3,90","7,80","6,30","12,60",
"Alta Diet (Biobel)","Detergente - Biobel- 1,5 litros","4,00","4,75","19,00","8,00","32,00",
"Alta Diet (Biobel)","Detergente liquido- Biobel- 5 litros","5,00","14,20","71,00","23,00","115,00",
"Alta Diet (Biobel)","Jabon prendas delicadas -Biobel- 1,5 litros","1,00","5,55","5,55","9,25","9,25",
"Alta Diet (Biobel)","Jabon ropa bebes y pieles sensibles- Biobel- 5 litros","2,00","15,50","31,00","25,85","51,70",
"Alta Diet (Biobel)","Lavavajillas -Biobel- 1 litro","8,00","2,95","23,60","4,70","37,60",
"Alta Diet (Biobel)","Lavavajillas -Biobel- 5 litros","2,00","14,90","29,80","23,00","46,00",
"Alta Diet (Biobel)","Lavavajillas pastillas - Biobel - 25 ud + 5 gratis","8,00","5,30","42,40","8,30","66,40",
"Alta Diet (Biobel)","Limpiahogar- Biobel- 1 litro","7,00","3,95","27,65","6,70","46,90",
"Alta Diet (Biobel)","Limpiahogar- Biobel- 5 litros","1,00","16,92","16,92","27,25","27,25",
"Alta Diet (Biobel)","Pastilla Jabon Coco- Biobel- 240 gr","9,00","2,20","19,80","3,50","31,50",
"Alta Diet (Biobel)","Sal lavavajillas - Biobel - 2kg","1,00","2,50","2,50","4,30","4,30",
,,,,"Total:304,22",,"Total:493,10",
"Amapola Biocosmetics","Aceite de Argan - Amapola Biocosmetics - 100 ml","2,00","8,50","17,00","14,90","29,80",
"Amapola Biocosmetics","Aceite de Argan- Amapola Biocosmetics-40ml","1,00","4,80","4,80","8,40","8,40",
"Amapola Biocosmetics","Balsamo bebe -Amapola biocosmetics- 50 ml","1,00","7,00","7,00","12,30","9,23",
"Amapola Biocosmetics","Balsamo Labial de Calendula y Miel- Amapola BioCosmetics - 15 ml","1,00","3,50","3,50","6,15","6,15",
"Amapola Biocosmetics","Crema camino de santiago -Amapola Biocosmetics- 250 ml","4,00","7,50","30,00","12,40","49,60",
"Amapola Biocosmetics","Crema facial de jojoba y sesamo- Amapola Biocosmetics- 50 ml","2,00","12,00","24,00","21,00","42,00",
"Amapola Biocosmetics","Crema manos calendula -Amapola Biocosmetics- 50 ml","1,00","3,10","3,10","5,45","5,45",
"Amapola Biocosmetics","Jabon de  Argan y Karite-Amapola Biocosmetics  - 100gr","1,00","2,80","2,80","4,90","4,90",
"Amapola Biocosmetics","Jabon de Cacao y Canela - Amapola Biocosmetics  - 100gr","1,00","2,80","2,80","4,90","4,90",
"Amapola Biocosmetics","Jabon de Calendula - Amapola Biocosmetics - 100gr","4,00","2,80","11,20","4,90","19,60",
"Amapola Biocosmetics","Jabon de Leche y Miel -Amapola Biocosmetics  - 100gr","1,00","2,80","2,80","4,90","4,90",
"Amapola Biocosmetics","Jabon de Rosa de Mosqueta - Amapola BioCosmetics-100gr","1,00","2,80","2,80","4,90","4,90",
"Amapola Biocosmetics","Leche corporal de hiperico - Amapola Biocosmetics- 250 ml","1,00","5,80","5,80","10,50","10,50",
"Amapola Biocosmetics","Leche limpiadora de saponaria -Amapola Biocosmetics - 250 ml","1,00","7,50","7,50","12,00","12,00",
"Amapola Biocosmetics","Protector Solar cuerpo y cara - FACTOR 25 200ml","1,00","14,50","14,50","25,50","25,50",
"Amapola Biocosmetics","Tonico facial de romero -Amapola Biocosmetics- 125 ml","1,00","5,00","5,00","7,70","7,70",
,,,,"Total:144,60",,"Total:245,53",
"Artesania Bolivia","Bolsa compra convertible Art. Bolivia","5,00","3,64","18,18","5,50","26,95",
"Artesania Bolivia","Carterita monedero - Artesania Boliviana","1,00","1,36","1,36","2,50","2,50",
"Artesania Bolivia","Estuche 2 cremalleras - Artesania Bolivia","1,00","3,64","3,64","5,00","5,00",
"Artesania Bolivia","Estuche 3 cremalleras - Artesania Bolivia","1,00","4,55","4,55","6,05","6,05",
"Artesania Bolivia","Estuche alargado 1 cremallera - Artesania Bolivia","1,00","2,73","2,73","3,50","3,50",
"Artesania Bolivia","tarjeta postal -Art. Bolivia","4,00","1,36","5,45","2,50","8,75",
"Artesania Bolivia","Tarjetero - Artesania Bolivia","2,00","2,27","4,55","3,00","6,00",
,,,,"Total:40,45",,"Total:58,75",
"Besana COOP","Cebolleta-manojo-Besana","111,00","1,50","166,50","2,15","236,82",
"Besana COOP","Coliflor- pieza-Besana","102,32","2,10","214,87","3,00","325,73",
"Besana COOP","Espinaca-manojo- Besana","234,50","1,50","351,75","2,15","504,07",
"Besana COOP","Nabo- Besana- kg","45,88","1,60","73,41","2,05","92,87",
,,,,"Total:806,53",,"Total:1 159,49",
"Biobardales -Comercial Beldrea","Bacon extra lonchas-Biobardales- 100 gramos","4,00","1,40","5,60","2,15","8,60",
"Biobardales -Comercial Beldrea","Bacon extra taco -Biobardales- 400 gramos","16,24","3,56","57,81","5,30","86,46",
