"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Algamar","Alga Dulse - Algamar - 100gr","1,00","5,76","5,76","9,70","9,70",
"Algamar","Alga espagueti de mar - Algamar- 100gr","2,00","3,57","7,14","5,40","10,80",
"Algamar","Alga instant (Alga espagueti de mar en polvo) - Algamar- 75 gr","1,00","3,59","3,59","5,72","5,72",
"Algamar","Alga nori copos - Algamar-  100 gr","2,00","7,08","14,16","10,50","21,00",
"Algamar","Alga Nori para Sushi - Algamar - 10 hojas de 30 gramos","1,00","4,03","4,03","6,00","6,00",
"Algamar","Alga wakame - Algamar- 100 gr","2,00","5,26","10,52","7,95","15,90",
"Algamar","Algas para ensalada- Algamar- 100 gr","2,00","5,75","11,50","9,75","19,50",
"Algamar","Arroz- lentejas pardinas y algas - Algamar- 500 gr","1,00","3,18","3,18","4,35","4,35",
"Algamar","Crema de almendra cruda y algas- Algamar-180gr.","1,00","6,23","6,23","12,25","12,25",
"Algamar","Crema de sesamo blanco (tahina) con algas - Algamar-  320g","1,00","5,44","5,44","7,72","7,72",
"Algamar","Espagueti tierra y mar (pasta con algas) - Algamar - 250 gr","3,00","1,89","5,67","2,53","7,59",
"Algamar","Flores de Mar (pasta integral con algas)- Algamar - 250 gr","2,00","1,89","3,78","2,70","5,40",
"Algamar","Palitos integrales de sesamo y algas-Algamar- 150 gr","6,00","2,69","16,14","3,97","23,82",
"Algamar","Pate de algas - Algamar- 200 gr","2,00","2,79","5,58","4,42","8,84",
"Algamar","Quinoa con Algas - Algamar - 500g","1,00","4,87","4,87","9,20","9,20",
"Algamar","Sopa de arroz- verduras y algas - Algamar-  500 gr","2,00","4,03","8,06","5,30","10,60",
"Algamar","Tortitas 5 cereales con algas - Algamar - 140gr","2,00","1,74","3,48","2,30","4,60",
"Algamar","Tortitas de arroz y algas- Algamar- 140 gr.","2,00","1,74","3,48","2,30","4,60",
"Algamar","Tortitas Espelta y Algas - Algamar - 140gr","3,00","3,13","9,39","2,30","6,90",
,,,,"Total:132,00",,"Total:194,49",
"Alta Diet (Biobel)","Blanqueador- Biobel- 1 kg","3,00","3,90","11,70","6,30","18,90",
"Alta Diet (Biobel)","Detergente - Biobel- 1,5 litros","6,00","4,75","28,50","8,00","48,00",
"Alta Diet (Biobel)","Detergente liquido- Biobel- 5 litros","1,00","14,20","14,20","23,00","23,00",
"Alta Diet (Biobel)","Jabon liquido prendas delicadas -VITAL- 1,5 litros","1,00","3,70","3,70","6,40","6,40",
"Alta Diet (Biobel)","Jabon prendas delicadas -Biobel- 1,5 litros","4,00","5,55","22,20","9,25","37,00",
"Alta Diet (Biobel)","Jabon ropa bebes y pieles sensibles- Biobel- 5 litros","1,00","15,50","15,50","25,85","25,85",
"Alta Diet (Biobel)","Jabon ropa bebes y pieles sensibles- Biobel-1,5 litros","1,00","5,10","5,10","8,95","8,95",
"Alta Diet (Biobel)","Lavavajillas -Biobel- 1 litro","4,00","2,95","11,80","4,70","18,80",
"Alta Diet (Biobel)","Lavavajillas -Biobel- 5 litros","2,00","14,90","29,80","23,00","46,00",
"Alta Diet (Biobel)","Lavavajillas pastillas - Biobel - 25 ud + 5 gratis","6,00","5,30","31,80","8,30","49,80",
"Alta Diet (Biobel)","Limpiahogar- Biobel- 1 litro","4,00","3,95","15,80","6,70","26,80",
"Alta Diet (Biobel)","Limpiahogar- Biobel- 5 litros","1,00","16,92","16,92","27,25","27,25",
"Alta Diet (Biobel)","Pastilla Jabon Coco- Biobel- 240 gr","8,00","2,20","17,60","3,50","28,00",
"Alta Diet (Biobel)","Tierra Diatomeas - CASTALIA - Biobel-250 gr","1,00","2,35","2,35","4,40","4,40",
,,,,"Total:226,97",,"Total:369,15",
"Amapola Biocosmetics","Aceite de Argan - Amapola Biocosmetics - 100 ml","1,00","8,50","8,50","14,90","14,90",
"Amapola Biocosmetics","Crema Corporal de Azahar y Frambuesa 400ml","2,00","9,50","19,00","16,65","33,30",
"Amapola Biocosmetics","Crema facial de aloe vera -Amapola BioCosmetics-50ml.","2,00","9,00","18,00","14,00","28,00",
"Amapola Biocosmetics","Crema facial de bardana y ortiga -Amapola BioCosmetics-50ml","1,00","9,00","9,00","14,00","14,00",
"Amapola Biocosmetics","Crema Facial de Calendula - Amapola BioCosmetics - 50 ml","3,00","13,00","39,00","23,00","69,00",
"Amapola Biocosmetics","Crema facial de rosa mosqueta -Amapola BioCosmetics- 50ml","4,00","11,80","47,20","20,70","82,80",
"Amapola Biocosmetics","Crema manos Calendula- Amapola Biocosmetics- 100 ml","1,00","4,50","4,50","7,90","7,90",
"Amapola Biocosmetics","Crema revitalizante alma de argan - Amapola Biocosmetics- 50 ml","1,00","15,30","15,30","26,85","26,85",
"Amapola Biocosmetics","Desodorante de arbol de te -Amapola Biocosmetics- 50 ml","2,00","4,50","9,00","7,90","15,80",
"Amapola Biocosmetics","Jabon de  Argan y Karite-Amapola Biocosmetics  - 100gr","2,00","2,80","5,60","4,90","9,80",
"Amapola Biocosmetics","Jabon de Calendula - Amapola Biocosmetics - 100gr","1,00","2,80","2,80","4,90","4,90",
"Amapola Biocosmetics","Jabon de Rosa de Mosqueta - Amapola BioCosmetics-100gr","1,00","2,80","2,80","4,90","4,90",
"Amapola Biocosmetics","Leche corporal de calendula y camomila -Amapola Biocosmetics- 250 ml","2,00","7,00","14,00","12,50","25,00",
"Amapola Biocosmetics","Leche corporal de hiperico - Amapola Biocosmetics- 250 ml","1,00","5,80","5,80","10,50","10,50",
"Amapola Biocosmetics","Leche corporal de manzanilla -Amapola BioCosmetics- 250 ml","1,00","5,80","5,80","10,20","10,20",
"Amapola Biocosmetics","Mascarilla arcilla de azahar- Amapola Biocosmetics- 50 ml","1,00","4,80","4,80","8,00","8,00",
,,,,"Total:211,10",,"Total:365,85",
"Artesania Bolivia","Bolsa compra convertible Art. Bolivia","2,00","3,64","7,27","5,50","11,00",
"Artesania Bolivia","Estuche alargado 1 cremallera - Artesania Bolivia","1,00","2,73","2,73","3,50","3,50",
"Artesania Bolivia","tarjeta postal -Art. Bolivia","2,00","1,36","2,73","2,50","5,00",
,,,,"Total:12,73",,"Total:19,50",
"Besana COOP","Cebolleta-manojo-Besana","62,00","1,50","93,00","2,15","133,09",
"Besana COOP","Coliflor- pieza-Besana","44,13","2,10","92,67","3,00","141,95",
"Besana COOP","Espinaca-manojo- Besana","115,74","1,50","173,61","2,15","253,38",
"Besana COOP","Lechuga Maravilla -precio Unidad-","1,00","1,25","1,25","1,90","1,90",
"Besana COOP","Nabo- Besana- kg","21,09","1,60","33,74","2,05","43,23",
