"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"AGRICOLA TUPINAIRE, S.L.","Higos Frescos -FruitalpuntBio - 1 kilo","10,05","3,75","37,69","5,85","58,80",
,,,,"Total:37,69",,"Total:58,80",
"Algamar","Alga agar-agar en copos -Algamar- 50 gr","1,00","3,13","3,13","5,55","5,55",
"Algamar","Alga Dulse - Algamar - 100gr","2,00","5,76","11,52","9,70","19,40",
"Algamar","Alga espagueti de mar - Algamar- 100gr","1,00","3,57","3,57","5,40","5,40",
"Algamar","Alga kombu-Algamar- 100 gr","1,00","3,57","3,57","5,40","5,40",
"Algamar","Alga Nori para Sushi - Algamar - 10 hojas de 30 gramos","1,00","4,03","4,03","6,00","6,00",
"Algamar","Alga wakame - Algamar- 100 gr","3,00","5,26","15,78","7,95","23,85",
"Algamar","Algas para ensalada- Algamar- 100 gr","1,00","5,75","5,75","9,75","9,75",
"Algamar","Arroz- lentejas pardinas y algas - Algamar- 500 gr","1,00","3,18","3,18","4,35","4,35",
"Algamar","Crema de sesamo (tahina) y algas - Algamar- 320 gr","1,00","4,16","4,16","6,65","6,65",
"Algamar","Crema de sesamo blanco (tahina) con algas - Algamar-  320g","2,00","5,44","10,88","7,72","15,44",
"Algamar","Espagueti tierra y mar (pasta con algas) - Algamar - 250 gr","3,00","1,89","5,67","2,53","7,59",
"Algamar","Flores de Mar (pasta integral con algas)- Algamar - 250 gr","4,00","1,89","7,56","2,70","10,80",
"Algamar","Pate de algas - Algamar- 200 gr","5,00","2,79","13,95","4,42","22,10",
"Algamar","Pisto con algas - Algamar- 420 gr","2,00","3,49","6,98","5,55","11,10",
"Algamar","Quinoa con Algas - Algamar - 500g","1,00","4,87","4,87","9,20","9,20",
"Algamar","Sopa de arroz- verduras y algas - Algamar-  500 gr","3,00","4,03","12,09","5,30","15,90",
"Algamar","Sopa juliana con algas - Algamar- 150 gr","1,00","3,05","3,05","5,10","5,10",
"Algamar","Tortitas 5 cereales con algas - Algamar - 140gr","4,00","1,74","6,96","2,30","9,20",
"Algamar","Tortitas de arroz y algas- Algamar- 140 gr.","4,00","1,74","6,96","2,30","9,20",
"Algamar","Tortitas Espelta y Algas - Algamar - 140gr","4,00","3,13","12,52","2,30","9,20",
,,,,"Total:146,18",,"Total:211,18",
"Alta Diet (Biobel)","Detergente - Biobel- 1,5 litros","10,00","4,75","47,50","8,00","80,00",
"Alta Diet (Biobel)","Detergente liquido- Biobel- 5 litros","2,00","14,20","28,40","23,00","46,00",
"Alta Diet (Biobel)","Jabon liquido prendas delicadas -VITAL- 1,5 litros","1,00","3,70","3,70","6,40","6,40",
"Alta Diet (Biobel)","Jabon prendas delicadas -Biobel- 1,5 litros","2,00","5,55","11,10","9,25","18,50",
"Alta Diet (Biobel)","Jabon ropa bebes y pieles sensibles- Biobel- 5 litros","1,00","15,50","15,50","25,85","25,85",
"Alta Diet (Biobel)","Jabon ropa bebes y pieles sensibles- Biobel-1,5 litros","2,00","5,10","10,20","8,95","17,90",
"Alta Diet (Biobel)","Lavavajillas - VITAL - 1L","5,00","2,35","11,75","3,25","16,25",
"Alta Diet (Biobel)","Lavavajillas -Biobel- 1 litro","5,00","2,95","14,75","4,70","23,50",
"Alta Diet (Biobel)","Lavavajillas -Biobel- 5 litros","1,00","14,90","14,90","23,00","23,00",
"Alta Diet (Biobel)","Lavavajillas pastillas - Biobel - 25 ud + 5 gratis","2,00","5,30","10,60","8,30","16,60",
"Alta Diet (Biobel)","Limpiacristales spray- Biobel- 750 ml","1,00","3,55","3,55","5,95","5,95",
"Alta Diet (Biobel)","Limpiahogar- Biobel- 1 litro","6,00","3,95","23,70","6,70","40,20",
"Alta Diet (Biobel)","Limpiahogar- Biobel- 5 litros","1,00","16,92","16,92","27,25","27,25",
"Alta Diet (Biobel)","Pastilla Jabon Coco- Biobel- 240 gr","12,00","2,20","26,40","3,50","42,00",
,,,,"Total:238,97",,"Total:389,40",
"Amapola Biocosmetics","Balsamo de Calendula- Amapola BioCosmetics -50 ml","1,00","7,00","7,00","12,30","12,30",
"Amapola Biocosmetics","Balsamo Labial de Calendula y Miel- Amapola BioCosmetics - 15 ml","3,00","3,50","10,50","6,15","18,45",
"Amapola Biocosmetics","Crema Facial de Calendula - Amapola BioCosmetics - 50 ml","1,00","13,00","13,00","23,00","23,00",
"Amapola Biocosmetics","Crema facial de rosa mosqueta -Amapola BioCosmetics- 50ml","1,00","11,80","11,80","20,70","20,70",
"Amapola Biocosmetics","Crema manos Calendula- Amapola Biocosmetics- 100 ml","1,00","4,50","4,50","7,90","7,90",
"Amapola Biocosmetics","Jabon de  Argan y Karite-Amapola Biocosmetics  - 100gr","2,00","2,80","5,60","4,90","9,80",
"Amapola Biocosmetics","Leche corporal de hiperico - Amapola Biocosmetics- 250 ml","1,00","5,80","5,80","10,50","10,50",
,,,,"Total:58,20",,"Total:102,65",
"Besana COOP","Alficoz- Besana - kg","6,27","1,38","8,65","2,10","12,99",
"Besana COOP","Calabaza vasca-Besana- kg","9,40","1,10","10,34","1,65","15,51",
"Besana COOP","Cebolleta-manojo-Besana","4,00","1,50","6,00","2,15","8,60",
"Besana COOP","Coliflor- pieza-Besana","16,29","2,10","34,21","1,90","46,19",
"Besana COOP","Espinaca-manojo- Besana","26,00","1,50","39,00","2,15","55,90",
"Besana COOP","Melon Mochuelo-  Besana- kg.","33,41","0,88","29,40","1,35","45,10",
"Besana COOP","Nabo- Besana- kg","2,10","1,60","3,35","2,05","4,20",
"Besana COOP","Okra- Besana- Kg","2,89","2,75","7,95","4,15","11,23",
"Besana COOP","Pimiento verde  italiano- Besana- kg","8,02","1,54","12,35","2,35","18,62",
"Besana COOP","Sandia-Besana- kg","36,74","0,77","28,29","1,20","44,09",
"Besana COOP","Tomate corazon de buey- Besana- kg","5,74","1,65","9,46","2,50","14,15",
"Besana COOP","Tomate Gigante 3 cantos-Besana- kg","4,82","1,65","7,94","2,50","12,04",
"Besana COOP","Tomate rosado - Besana - kg","5,64","1,49","8,40","2,25","12,66",
"Besana COOP","Tomate tres cantos- Besana- kg","1,72","1,50","2,58","2,10","3,61",
"Besana COOP","Zapallitos - Besana - kg","2,07","2,40","4,96","3,65","7,53",
